,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
86,David Blough,Purdue,Big Ten,12,295,517,57.1,3352,6.5,5.6,25,21,119.4,80,13,0.2,4,david-blough-1
87,Tyler Stehling,Rice,CUSA,11,194,316,61.4,2049,6.5,6.2,12,7,124.0,101,309,3.1,4,tyler-stehling-1
88,Tyler Rogers,New Mexico State,Sun Belt,11,224,404,55.4,2603,6.4,5.9,16,12,116.7,124,333,2.7,4,tyler-rogers-1
89,Riley Neal,Ball State,MAC,11,242,394,61.4,2541,6.4,5.7,13,12,120.4,127,540,4.3,8,riley-neal-1
90,Kyle Shurmur*,Vanderbilt,SEC,13,204,375,54.4,2409,6.4,5.7,9,10,110.9,50,-129,-2.6,0,kyle-shurmur-1
91,Tyler Jones,Texas State,Sun Belt,11,220,342,64.3,2184,6.4,5.2,11,14,120.4,115,-8,-0.1,5,tyler-jones-4
92,James Morgan,Bowling Green State,MAC,11,183,326,56.1,2082,6.4,5.3,16,15,116.8,45,-72,-1.6,0,james-morgan-1
93,C.J. Beathard*,Iowa,Big Ten,13,170,301,56.5,1929,6.4,6.0,17,10,122.3,83,-13,-0.2,2,cj-beathard-1
94,Kurt Benkert,Virginia,ACC,11,228,406,56.2,2552,6.3,6.1,21,11,120.6,60,-94,-1.6,0,kurt-benkert-1
95,Chason Virgil,Fresno State,MWC,10,166,322,51.6,2021,6.3,5.7,13,10,111.4,77,122,1.6,2,chason-virgil-1
96,Patrick Towles*,Boston College,ACC,13,138,273,50.5,1730,6.3,6.1,12,7,113.2,115,294,2.6,4,patrick-towles-1
97,Taysom Hill*,Brigham Young,Ind,12,222,372,59.7,2323,6.2,5.6,12,11,116.9,137,603,4.4,8,taysom-hill-1
98,Hasaan Klugh,Charlotte,CUSA,11,120,224,53.6,1356,6.1,6.3,10,3,116.5,89,426,4.8,8,hasaan-klugh-1
99,Mason Fine*,North Texas,CUSA,10,155,261,59.4,1572,6.0,5.6,6,5,113.7,94,118,1.3,2,mason-fine-1
100,McKenzie Milton*,UCF,American,10,194,336,57.7,1983,5.9,5.6,10,7,113.0,100,158,1.6,3,mckenzie-milton-1
101,John Wolford*,Wake Forest,ACC,12,166,299,55.5,1774,5.9,5.0,9,10,108.6,130,521,4.0,6,john-wolford-1
102,Tyree Jackson,Buffalo,MAC,10,165,311,53.1,1772,5.7,5.0,9,9,104.7,99,399,4.0,5,tyree-jackson-1
103,Glen Cuiellette,Tulane,American,12,101,237,42.6,1309,5.5,4.8,10,8,96.2,120,216,1.8,1,glen-cuiellette-1
